,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0.029415604,0.242163552,0.052142787,0,0.005865717,0,0,0,0.669993078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000419262
1,0.024770292,0.000350335,0.077336497,0.184332054,0.008997245,0.037382359,0.032907623,0,0.022095005,0.387136328,0.112282434,0,0.002205519,0,0,0,0.109638995,0,0,0,0,0,0,0,0.000565314
2,0.020050761,0.044111675,0.04715736,0.101243655,0.030736041,0.097817259,0.003807107,0,0.006167513,0.013045685,0.35680203,0,0.271979695,0,0,0,0.00606599,0,0,0,0,0,0,0,0.001015228
3,0.026281861,6.61E-05,0.012760752,0.036860723,0.00595061,0.026711627,0.059241628,0.162021885,0.000462825,0.006215081,0.004760488,0.317993983,0.001917419,0.098052828,0.131640715,0,0.000198354,0.008363913,0.010545803,0,0.087110318,0,0,0,0.002843069
4,0.035188074,0.173166927,0.049401976,0,0.005546889,0.108857688,0.00017334,0,0.223435604,0.005026868,0.000866701,0,0.392095684,0,0,0,0.004506847,0,0,0,0,0,0,0,0.001733403
5,0.026327493,0.000355777,0.025082273,0.139464556,0.006759762,0.03468825,0.073467936,0.082984968,0.001067331,0.158587566,0.045539447,0.021168727,0.00693765,0.234723828,0.044827893,0,0.07987192,0.003913546,0.003646714,0,0.009072312,0,0,0,0.001512052
6,0.02191262,0.048288922,0.052617341,0.008521574,0.017043149,0.093602056,0.00568105,0.137427296,0.003111051,0.002164209,0.091843636,0.006357365,0.151765183,0.007168944,0.340727715,0.000135263,0.003381577,0,0.002164209,0,0.003652103,0,0,0,0.002434736
7,0.026264591,0,0.014713035,0.044139105,0.005836576,0.021400778,0.054596304,0.166950389,0.000486381,0.002431907,0.003283074,0.070160506,0.002796693,0.097762646,0.040977626,0.320403696,0.000121595,0.001459144,0.003283074,0.005836576,0.074659533,0.00364786,0.026872568,0,0.011916342
8,0,0,0,0,0,0,0,0,0.026622996,0.241250152,0.048855853,0,0.005233864,0,0,0,0.677680281,0,0,0,0,0,0,0,0.000356854
9,0,0,0,0,0,0,0,0,0.025222107,0.000327029,0.084639178,0.189363384,0.009851747,0.039638633,0.030420505,1.36E-05,0.025188042,0.398007849,0.077669374,0,0.002364147,0,0,0,0.117294381
10,0,0,0,0,0,0,0,0,0.022699331,0.053899667,0.049251852,0.140993733,0.046718043,0.066718642,0.003238478,0,0.011649525,0.009385589,0.40846802,0,0.177876398,0,0,0,0.009100723
11,0,0,0,0,0,0,0,0,0.025343808,0.000238056,0.015858192,0.047318208,0.006335952,0.03515904,0.062901719,0.148217327,0.000604296,0.006995184,0.007526232,0.349594389,0.002270688,0.093006647,0.069201047,0,0.129429215
12,0,0,0,0,0,0,0,0,0.035207448,0.170568562,0.048223809,0,0.00682455,0.147292778,0.000135587,0,0.212103408,0.020609238,0.005694658,0,0.341317907,0,0,0,0.012022056
13,0,0,0,0,0,0,0,0,0.022411003,0.000485437,0.02973301,0.134425566,0.007281553,0.035558252,0.072168285,0.078762136,0.001132686,0.159506472,0.062419094,0.016383495,0.009830097,0.212297735,0.026537217,0,0.131067961
14,0,0,0,0,0,0,0,0,0.016045689,0.051672559,0.046722872,0.006581452,0.01756867,0.07652978,0.005112864,0.240467773,0.003644275,0.004623334,0.08381833,0.0090291,0.126189829,0.022300789,0.275061191,0,0.014631493
15,0,0,0,0,0,0,0,0,0.02451632,9.85E-05,0.013538128,0.044405061,0.00669522,0.025845518,0.051543347,0.158174568,0.000639984,0.003101462,0.003790676,0.078127308,0.001673805,0.092650027,0.047949589,0.298380348,0.148870182
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02631735,0.246773997,0.04789381,0,0.004562976,0,0,0,0.674451867
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024412701,0.000771783,0.116281904,0.170259292,0.010703405,0.043213053,0.019348724,0,0.61500914
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021143407,0.078396902,0.055851854,0.165975744,0.038747075,0.030254077,0.000380106,0,0.609250834
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023110656,0.000482386,0.023125274,0.049919602,0.008259026,0.047829265,0.05350095,0.122379769,0.671393071
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035028249,0.13053821,0.040886114,0,0.005025275,0.16446625,0,0,0.624055902
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021090211,0.001080011,0.036150362,0.099690997,0.008850089,0.039390394,0.085830858,0.095520955,0.612396124
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019724706,0.071188685,0.049430018,0.000189206,0.017785346,0.027056431,0.000709522,0.209592734,0.604323353
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023958584,0.000441448,0.025202665,0.050124408,0.008507906,0.042780319,0.041255317,0.115177783,0.692551569
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1