,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,pc1,pc2
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.2375584221450842,-0.44059452340159755
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1.080002144082999,-0.17907780819503707
2,One dime,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.11599999999999999,32.261086,0.03212994121618083,-0.11753193951705168
3,One quarter,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.51099998,46.116505,0.22934000595892504,-0.11395439917101574
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.6022580825407933,-0.7853475791437259
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.1125566635613302,0.020919721732765243
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.5023805001766148,-0.3322020074325358
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.24863645917839905,0.857113950553436
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963000000004,-0.29464878179190007,0.5863088338748164
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.20775058002029817,-0.6714298488205807
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.1264579333405564,-0.048214374103851265
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.806128312107849,-0.061763148801122464
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.8942957174965733,-0.020726225988378005
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.8658590120159939,0.11282612779305384
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.5238088320205796,-0.8530309170669124
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.7335744187075335,0.06675119635359664
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.620184907307963,-0.8605981775235703
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-0.914185285666646,-0.07829289903731634
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.6245302731102712,0.14280047712561805
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,-0.26143223785928227,0.5774848048151451
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.8568089626543907,0.07215474694326734
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178771999999995,-0.9452986350938969,0.027597821401523198
22,HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454000000005,0.1719332706986306,0.8755163085410562
23,HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.28448100000001,1.1177119759373428,-0.22208161691013067
24,HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,0.9124340237971024,-0.043850591099753394
25,HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236121999999995,1.0896636798784702,-0.13938498340411917
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439000000003,-0.7915711126183839,-0.24495017358782267
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.19699999999999998,0.51099998,57.21925,0.1149405511451134,0.703240216145969
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,0.8728797929102352,-0.17710475017317853
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,41.389557,-0.2816672167765002,-0.48816160128044994
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.10400000000000001,39.141056,-0.73122145252553,-0.9946054865018837
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392000000006,-0.46385885655932,-0.6178694503873432
32,Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.5321429183061797,0.9363573772767387
33,M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.07848984508441227,0.8677043563093678
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-0.7757035314521059,0.14879537921978309
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064071999999996,0.259427781602919,0.5380989811915325
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1.272954659034343,-0.39897528738628696
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701000000004,1.3605080515113217,-0.4149275984108599
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1.3857079656052096,-0.22756907455178083
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0.880368668621708,-0.134823626502173
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1.0976531498344093,-0.057905942181029346
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-1.0691976020285885,-0.12774423341103694
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1.0330919808181032,-0.15007951851252904
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,1.3054957294560303,-0.3206456476707716
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.19699999999999998,0.97600001,22.445341,-0.7542714691592944,0.24669036871237987
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-0.9681931124887713,0.2231974437032911
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.9235554851515928,-0.48139804110711115
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.3815518871567294,0.9458289788572836
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,-0.3846610044286641,0.5747069870509645
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-1.1309525053279452,-0.21662087192142676
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.11599999999999999,37.348521999999996,-0.9013140511237046,0.10383119419673893
51,ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.86625699999999,0.6862769779524742,0.17522249943303356
52,ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.9743189900273901,0.3417069912539433
53,ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.20646302930882687,1.0311603700443908
54,ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.764726081538829,0.2043565817643424
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.6852399161251858,-1.0118969998654443
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.16615504809469286,0.7994029823077613
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.06899999799999999,29.703691,-0.7717120093745252,0.11678178410544353
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-1.0707693981631141,-0.32279597172051944
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.021611844291633014,0.8172939255314606
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.7727073572894648,0.21989964239514742
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103694999999995,-0.9179910347289344,0.1594372959524114
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.26850483916644574,0.7827981151073442
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.11599999999999999,45.995827,-0.9812570512510382,-0.12090340436786974
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.67378199999999,1.352883360006011,-0.19158087307035682
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.4677615200347407,-0.15214468187066152
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,59.863997999999995,-0.8462252032719055,0.23123848001109953
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.06899999799999999,0.11599999999999999,52.825947,-0.9490023978298296,0.1558670663264945
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.7646672739319326,0.3576364736665625
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578990999999995,-0.9178732868827897,-0.11915813695499365
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.25284330463557025,0.2963391599213799
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.19286486680372156,-0.38884508808941187
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.11599999999999999,27.303865000000002,-0.4878020094979823,-0.5642772351528695
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.7499540616222274,0.3277758846316765
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651000000004,-0.09487051594880574,-0.6329034530840509
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.5693231352871421,-0.005471636960700063
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011000000000000001,45.736748,0.16346650632399934,0.7092789315683296
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,1.0466789581906522,-0.151036215300352
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.7833149230446659,0.3643692796968637
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.2234058195373378,-0.2652717493406756
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,45.466282,-0.4138421351342229,-0.42960420789014087
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.11599999999999999,39.011897999999995,-0.8476968292605412,-0.8700845825131864
82,WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.8563189408410051,0.1040407481510414
83,WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.18600000000000003,0.26699999,41.904308,0.10655458872807133,-0.7112037737832864
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.4273933183653136,0.6864166763998046
